"SampleID";"image_url";"year";"latitude";"longitude";"expected_family";"predicted_family";"acc_familly";"expected_genus";"predicted_genus";"acc_genus"
14334545;"https://inaturalist-open-data.s3.amazonaws.com/photos/21298080/original.jpeg";2016;34.1612849243;-81.1746806527;"Celastraceae";"Celastraceae";TRUE;"Euonymus";"Euonymus";TRUE
14357826;"https://inaturalist-open-data.s3.amazonaws.com/photos/21338841/original.jpg";2018;49.4154812314;8.6692375696;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
15095925;"https://inaturalist-open-data.s3.amazonaws.com/photos/22547708/original.jpeg";2018;40.1719305149;-105.2152050826;"Plumbaginaceae";"Plumbaginaceae";TRUE;"Limonium";"Limonium";TRUE
15176007;"https://static.inaturalist.org/photos/22694444/original.jpeg";2018;45.6036558;-73.7982679;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
15301175;"https://inaturalist-open-data.s3.amazonaws.com/photos/22904656/original.jpeg";2018;43.5746014145;-80.2371250181;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
15375958;"https://inaturalist-open-data.s3.amazonaws.com/photos/23039968/original.jpeg";2018;43.3855347116;-80.803560752;"Scrophulariaceae";"Plantaginaceae";FALSE;"Veronica";"Veronica";TRUE
15766342;"https://static.inaturalist.org/photos/23553583/original.jpg";2018;45.4997116667;-122.6262133333;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
18018382;"https://inaturalist-open-data.s3.amazonaws.com/photos/27546051/original.jpeg";2018;50.08301;19.876389;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
19626730;"https://inaturalist-open-data.s3.amazonaws.com/photos/30219354/original.jpg";2018;44.900528;-93.475731;"Asteraceae";"Asteraceae";TRUE;"Erigeron";"Erigeron";TRUE
22213051;"https://inaturalist-open-data.s3.amazonaws.com/photos/34394842/original.jpg";2019;29.5911237549;-98.4529089017;"Apiaceae";"Apiaceae";TRUE;"Polytaenia";"Polytaenia";TRUE
24537270;"https://inaturalist-open-data.s3.amazonaws.com/photos/37940993/original.jpg";2019;32.5285901693;-97.3581403234;"Apiaceae";"Apiaceae";TRUE;"Polytaenia";"Polytaenia";TRUE
24866900;"https://inaturalist-open-data.s3.amazonaws.com/photos/38461044/original.jpg";2018;42.3654796;-71.2587009;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
25398141;"https://inaturalist-open-data.s3.amazonaws.com/photos/39328117/original.jpeg";2019;32.3117774514;-97.0159618506;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
25520555;"https://inaturalist-open-data.s3.amazonaws.com/photos/39534531/original.jpeg";2019;32.3117819852;-97.0159350285;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
25897666;"https://inaturalist-open-data.s3.amazonaws.com/photos/40161678/original.jpeg";2019;32.3118406436;-97.0159323463;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
26829142;"https://inaturalist-open-data.s3.amazonaws.com/photos/41680221/original.jpeg";2019;32.3118361077;-97.0158947954;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
27639832;"https://inaturalist-open-data.s3.amazonaws.com/photos/43024735/original.jpeg";2009;42.811502;-85.73336;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
27670528;"https://inaturalist-open-data.s3.amazonaws.com/photos/43075896/original.jpeg";2019;38.0531316;-122.225841;"Apiaceae";"Apiaceae";TRUE;"Smyrnium";"Foeniculum";FALSE
28115982;"https://inaturalist-open-data.s3.amazonaws.com/photos/43806147/original.jpeg";2019;50.1234;8.65403;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28169477;"https://inaturalist-open-data.s3.amazonaws.com/photos/43894557/original.jpeg";2019;50.123206136;8.6543990149;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28169664;"https://inaturalist-open-data.s3.amazonaws.com/photos/43894900/original.jpeg";2019;50.1233458155;8.6578778378;"Asteraceae";"Asteraceae";TRUE;"Achillea";"Achillea";TRUE
28228852;"https://inaturalist-open-data.s3.amazonaws.com/photos/43989751/original.jpeg";2019;50.1231855;8.6578537;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28228912;"https://inaturalist-open-data.s3.amazonaws.com/photos/43989854/original.jpeg";2019;50.1233781026;8.6544633878;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28297761;"https://inaturalist-open-data.s3.amazonaws.com/photos/44100268/original.jpg";2019;49.4154544803;8.669204719;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28435901;"https://inaturalist-open-data.s3.amazonaws.com/photos/44327541/original.jpeg";2019;50.1232204441;8.6551089185;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28530432;"https://inaturalist-open-data.s3.amazonaws.com/photos/44481253/original.jpg";2019;43.5481116667;-80.2271883333;"Rhamnaceae";"Rhamnaceae";TRUE;"Ceanothus";"Ceanothus";TRUE
28600287;"https://inaturalist-open-data.s3.amazonaws.com/photos/44595405/original.jpeg";2019;50.1231855;8.6549569143;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28600355;"https://inaturalist-open-data.s3.amazonaws.com/photos/44595448/original.jpeg";2019;50.1231855;8.6578537;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
28631053;"https://inaturalist-open-data.s3.amazonaws.com/photos/44643969/original.jpeg";2019;47.9965537511;3.7274484047;"Viburnaceae";"Viburnaceae";TRUE;"Sambucus";"Sambucus";TRUE
28643742;"https://inaturalist-open-data.s3.amazonaws.com/photos/44664728/original.jpg";2019;45.4779796671;-122.5691379497;"Amaryllidaceae";"Amaryllidaceae";TRUE;"Allium";"Allium";TRUE
28684680;"https://inaturalist-open-data.s3.amazonaws.com/photos/44730735/original.jpg";2019;45.4780241384;-122.5691319913;"Amaryllidaceae";"Amaryllidaceae";TRUE;"Allium";"Allium";TRUE
28994070;"https://inaturalist-open-data.s3.amazonaws.com/photos/45225219/original.jpg";2019;42.192314514;2.8820321447;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
29098670;"https://static.inaturalist.org/photos/45399103/original.jpeg";2019;49.192315028;8.1979936548;"Apiaceae";"Apiaceae";TRUE;"Daucus";"Daucus";TRUE
29179251;"https://static.inaturalist.org/photos/45527832/original.jpeg";2019;49.350276947;8.1288890839;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
29304678;"https://inaturalist-open-data.s3.amazonaws.com/photos/45729512/original.jpeg";2019;47.4831184395;7.455929867;"Amaryllidaceae";"Amaryllidaceae";TRUE;"Allium";"Allium";TRUE
29369774;"https://inaturalist-open-data.s3.amazonaws.com/photos/45834800/original.jpeg";2019;47.9772237994;3.7125560973;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
29487371;"https://inaturalist-open-data.s3.amazonaws.com/photos/46022394/original.jpg";2019;43.6397133333;-70.2299583333;"Asteraceae";"Asteraceae";TRUE;"Anaphalis";"Anaphalis";TRUE
29571967;"https://inaturalist-open-data.s3.amazonaws.com/photos/46159158/original.jpeg";2019;50.1231304707;8.6548710836;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
29601266;"https://inaturalist-open-data.s3.amazonaws.com/photos/46205916/original.jpeg";2019;50.1231855;8.6578537;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
29602400;"https://inaturalist-open-data.s3.amazonaws.com/photos/46208117/original.jpeg";2019;50.1231855;8.6578537;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
29630280;"https://inaturalist-open-data.s3.amazonaws.com/photos/46252521/original.jpg";2019;48.3191946352;16.3140568417;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
29904438;"https://inaturalist-open-data.s3.amazonaws.com/photos/46696786/original.jpg";2019;48.1145569091;-1.6563996374;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
30072727;"https://inaturalist-open-data.s3.amazonaws.com/photos/46962492/original.jpg";2019;47.7333578093;-122.3401388943;"Hydrangeaceae";"Hydrangeaceae";TRUE;"Hydrangea";"Hydrangea";TRUE
30094717;"https://inaturalist-open-data.s3.amazonaws.com/photos/46998726/original.jpg";2019;43.553975;-79.6547466667;"Asteraceae";"Asteraceae";TRUE;"Ageratina";"Eupatorium";FALSE
30240581;"https://static.inaturalist.org/photos/47236350/original.jpeg";2019;49.2747044859;6.230180349;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
30431407;"https://inaturalist-open-data.s3.amazonaws.com/photos/47543681/original.jpeg";2019;50.1246987829;8.6559868893;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
30473464;"https://inaturalist-open-data.s3.amazonaws.com/photos/47612114/original.jpeg";2019;46.6190986;-0.8757426;"Rosaceae";"Rosaceae";TRUE;"Rubus";"Rubus";TRUE
30475839;"https://inaturalist-open-data.s3.amazonaws.com/photos/47615866/original.jpg";2019;45.4517486532;6.5694093806;"Apiaceae";"Apiaceae";TRUE;"Aegopodium";"Visnaga";FALSE
30529790;"https://inaturalist-open-data.s3.amazonaws.com/photos/47702919/original.jpeg";2019;43.610769;3.876716;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
30561588;"https://inaturalist-open-data.s3.amazonaws.com/photos/47751878/original.jpg";2019;39.9241906712;-83.0835377333;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
30607068;"https://inaturalist-open-data.s3.amazonaws.com/photos/47826074/original.jpeg";2019;40.7908320794;-73.9300395649;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
30822702;"https://inaturalist-open-data.s3.amazonaws.com/photos/48178576/original.jpg";2019;39.0187343915;-77.572058787;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
30827149;"https://inaturalist-open-data.s3.amazonaws.com/photos/48186094/original.jpg";2019;39.1343712239;-77.5923312898;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
30904868;"https://inaturalist-open-data.s3.amazonaws.com/photos/48313035/original.jpeg";2019;39.6689576;-76.7136074;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
31206911;"https://inaturalist-open-data.s3.amazonaws.com/photos/48817673/original.jpeg";2019;42.403685;-71.1856116667;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
31609086;"https://inaturalist-open-data.s3.amazonaws.com/photos/49486035/original.jpg";2019;41.8561283333;-70.6020883333;"Clethraceae";"Clethraceae";TRUE;"Clethra";"Clethra";TRUE
31664114;"https://inaturalist-open-data.s3.amazonaws.com/photos/49579471/original.jpeg";2019;47.636899475;9.5428091282;"Apiaceae";"Apiaceae";TRUE;"Daucus";"Daucus";TRUE
31736539;"https://inaturalist-open-data.s3.amazonaws.com/photos/49702271/original.jpeg";2019;47.0458335876;2.6497223377;"Crassulaceae";"Crassulaceae";TRUE;"Hylotelephium";"Hylotelephium";TRUE
32005359;"https://inaturalist-open-data.s3.amazonaws.com/photos/50152940/original.jpg";2019;42.4137788077;-71.2975208572;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Euthamia";FALSE
32077186;"https://inaturalist-open-data.s3.amazonaws.com/photos/50274096/original.jpg";2019;39.6831406;-75.7560411;"Asteraceae";"Asteraceae";TRUE;"Eupatorium";"Eupatorium";TRUE
32249513;"https://inaturalist-open-data.s3.amazonaws.com/photos/50564992/original.jpeg";2019;38.0542357;-122.2289391;"Amaryllidaceae";"Polygonaceae";FALSE;"Allium";"Eriogonum";FALSE
32343335;"https://inaturalist-open-data.s3.amazonaws.com/photos/50718399/original.jpeg";2019;48.3061239;-0.620935;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
32581248;"https://static.inaturalist.org/photos/106208721/original.jpeg";2019;47.6092442524;-122.1793480217;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
32645044;"https://static.inaturalist.org/photos/51218013/original.jpg";2019;42.3665494061;-71.2566087739;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
32879091;"https://static.inaturalist.org/photos/51602883/original.jpg";2018;49.3411216667;8.1437555;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
33093773;"https://inaturalist-open-data.s3.amazonaws.com/photos/51947842/original.jpeg";2019;45.391408;-75.7332416;"Asteraceae";"Asteraceae";TRUE;"Eupatorium";"Eupatorium";TRUE
33330714;"https://inaturalist-open-data.s3.amazonaws.com/photos/52343077/original.jpg";2019;42.4693122253;-71.0070408719;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
35980272;"https://inaturalist-open-data.s3.amazonaws.com/photos/56811978/original.jpg";2019;43.7475170798;-79.8079688018;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
36355841;"https://inaturalist-open-data.s3.amazonaws.com/photos/57461174/original.jpg";2019;48.9008733333;2.2673933333;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
39458304;"https://inaturalist-open-data.s3.amazonaws.com/photos/62606528/original.jpg";2015;43.0135416168;1.4302979759;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
41968528;"https://inaturalist-open-data.s3.amazonaws.com/photos/66603903/original.jpeg";2020;30.2088084731;-97.8864012229;"Apiaceae";"Apiaceae";TRUE;"Polytaenia";"Polytaenia";TRUE
46126320;"https://inaturalist-open-data.s3.amazonaws.com/photos/73157584/original.jpeg";2015;45.4583983103;4.2639281837;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
47676811;"https://static.inaturalist.org/photos/75624867/original.jpeg";2020;32.963996052;-96.7218806595;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
47960931;"https://inaturalist-open-data.s3.amazonaws.com/photos/76083131/original.jpg";2020;49.3904032885;8.6814687029;"Apiaceae";"Apiaceae";TRUE;"Coriandrum";"Coriandrum";TRUE
48007437;"https://inaturalist-open-data.s3.amazonaws.com/photos/76157082/original.jpeg";2020;44.7472275787;-1.0972655565;"Amaryllidaceae";"Amaryllidaceae";TRUE;"Allium";"Allium";TRUE
48128796;"https://inaturalist-open-data.s3.amazonaws.com/photos/76350420/original.jpg";2020;47.76721167;8.82236667;"Apiaceae";"Apiaceae";TRUE;"Chaerophyllum";"Chaerophyllum";TRUE
48480670;"https://inaturalist-open-data.s3.amazonaws.com/photos/76927006/original.jpg";2020;37.4485993801;-122.0305387103;"Polygonaceae";"Polygonaceae";TRUE;"Eriogonum";"Eriogonum";TRUE
49743191;"https://inaturalist-open-data.s3.amazonaws.com/photos/78972551/original.jpg";2020;37.804527082;-122.2081623714;"Polygonaceae";"Polygonaceae";TRUE;"Eriogonum";"Eriogonum";TRUE
50225655;"https://inaturalist-open-data.s3.amazonaws.com/photos/79753688/original.jpg";2020;37.4216262516;-122.1666086731;"Polygonaceae";"Polygonaceae";TRUE;"Eriogonum";"Eriogonum";TRUE
50540406;"https://static.inaturalist.org/photos/80252434/original.jpeg";2020;48.0941656;-1.6602343;"Rutaceae";"Rutaceae";TRUE;"Ruta";"Ruta";TRUE
50551682;"https://inaturalist-open-data.s3.amazonaws.com/photos/80270279/original.jpg";2020;49.5995643821;11.0072485749;"Euphorbiaceae";"Euphorbiaceae";TRUE;"Euphorbia";"Euphorbia";TRUE
50665609;"https://static.inaturalist.org/photos/80607037/original.jpg";2020;49.5129995367;8.3099309491;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
51040696;"https://inaturalist-open-data.s3.amazonaws.com/photos/81074734/original.jpg";2020;42.8954494821;-100.5098718383;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
51325329;"https://inaturalist-open-data.s3.amazonaws.com/photos/81536039/original.jpeg";2020;42.6056290488;-71.6159874479;"Rhamnaceae";"Rhamnaceae";TRUE;"Ceanothus";"Ceanothus";TRUE
51405431;"https://inaturalist-open-data.s3.amazonaws.com/photos/81667598/original.jpg";2020;35.9320323;-79.0356315;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
51407572;"https://inaturalist-open-data.s3.amazonaws.com/photos/81671405/original.jpg";2020;37.43422;-122.0957533333;"Polygonaceae";"Polygonaceae";TRUE;"Eriogonum";"Eriogonum";TRUE
51838445;"https://static.inaturalist.org/photos/82378852/original.jpeg";2020;48.9025185558;9.1734880588;"Apiaceae";"Apiaceae";TRUE;"Falcaria";"Falcaria";TRUE
51892727;"https://inaturalist-open-data.s3.amazonaws.com/photos/82471727/original.jpg";2020;43.486713;-80.563816;"Amaryllidaceae";"Amaryllidaceae";TRUE;"Allium";"Allium";TRUE
51915884;"https://inaturalist-open-data.s3.amazonaws.com/photos/82504890/original.jpg";2020;46.7718582153;0.5328267811;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
52001045;"https://static.inaturalist.org/photos/82646420/original.jpeg";2020;41.9264259336;-8.8068208694;"Cistaceae";"Cistaceae";TRUE;"Cistus";"Cistus";TRUE
52022505;"https://inaturalist-open-data.s3.amazonaws.com/photos/82679482/original.jpg";2020;46.71022833;15.782275;"Apiaceae";"Apiaceae";TRUE;"Foeniculum";"Foeniculum";TRUE
52067242;"https://inaturalist-open-data.s3.amazonaws.com/photos/82747859/original.jpg";2020;46.175978;6.122136;"Bignoniaceae";"Bignoniaceae";TRUE;"Campsis";"Campsis";TRUE
52069178;"https://inaturalist-open-data.s3.amazonaws.com/photos/82751949/original.jpeg";2020;46.9750406171;8.3225724018;"Viburnaceae";"Viburnaceae";TRUE;"Sambucus";"Sambucus";TRUE
52268679;"https://inaturalist-open-data.s3.amazonaws.com/photos/83077038/original.jpeg";2020;50.1233194237;8.6545500021;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
52270320;"https://inaturalist-open-data.s3.amazonaws.com/photos/83079494/original.jpeg";2020;50.1233194237;8.6545500021;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
52368094;"https://inaturalist-open-data.s3.amazonaws.com/photos/83242797/original.jpg";2020;47.9969933897;7.8582058567;"Sapindaceae";"Sapindaceae";TRUE;"Aesculus";"Aesculus";TRUE
52371930;"https://inaturalist-open-data.s3.amazonaws.com/photos/83245276/original.jpeg";2020;48.2284029878;16.3863625884;"Apiaceae";"Apiaceae";TRUE;"Falcaria";"Falcaria";TRUE
52411678;"https://inaturalist-open-data.s3.amazonaws.com/photos/83315140/original.jpg";2020;47.7270392961;-122.3953150634;"Apiaceae";"Apiaceae";TRUE;"Coriandrum";"Coriandrum";TRUE
52495162;"https://inaturalist-open-data.s3.amazonaws.com/photos/83451654/original.jpeg";2020;49.9934460058;8.2456327137;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
52574738;"https://inaturalist-open-data.s3.amazonaws.com/photos/83585249/original.jpg";2020;50.0795266446;8.2114893929;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
52687866;"https://static.inaturalist.org/photos/83780572/original.jpg";2020;48.4744135097;1.3180154367;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
52878602;"https://inaturalist-open-data.s3.amazonaws.com/photos/84080904/original.jpeg";2020;40.0807690861;-74.2919081903;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53117221;"https://inaturalist-open-data.s3.amazonaws.com/photos/84468081/original.jpg";2020;39.1717326393;-77.2832469839;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53211849;"https://static.inaturalist.org/photos/84616980/original.jpeg";2020;42.2377880578;-71.1582984684;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53287460;"https://inaturalist-open-data.s3.amazonaws.com/photos/84744814/original.jpeg";2020;43.3256222265;21.930069756;"Viburnaceae";"Viburnaceae";TRUE;"Sambucus";"Sambucus";TRUE
53301264;"https://inaturalist-open-data.s3.amazonaws.com/photos/84766100/original.jpg";2020;41.7474454;-71.4089012;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53301847;"https://inaturalist-open-data.s3.amazonaws.com/photos/84767767/original.jpg";2020;41.7474454;-71.4089012;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53564375;"https://inaturalist-open-data.s3.amazonaws.com/photos/85200781/original.jpg";2020;47.6751116667;-122.3532866667;"Apiaceae";"Apiaceae";TRUE;"Coriandrum";"Coriandrum";TRUE
53723105;"https://inaturalist-open-data.s3.amazonaws.com/photos/85459009/original.jpg";2020;48.0404383739;16.2906640023;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
53764473;"https://inaturalist-open-data.s3.amazonaws.com/photos/85522929/original.jpeg";2020;50.2025478;8.5770309;"Apiaceae";"Apiaceae";TRUE;"Foeniculum";"Foeniculum";TRUE
53788394;"https://inaturalist-open-data.s3.amazonaws.com/photos/85561736/original.jpeg";2020;43.6746947;-79.3335459;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
53822481;"https://inaturalist-open-data.s3.amazonaws.com/photos/85614201/original.jpeg";2020;47.3309032726;9.7832664733;"Apiaceae";"Apiaceae";TRUE;"Astrantia";"Astrantia";TRUE
53833072;"https://static.inaturalist.org/photos/85634662/original.jpg";2020;41.7665194581;-70.059648743;"Apiaceae";"Apiaceae";TRUE;"Foeniculum";"Foeniculum";TRUE
53842333;"https://inaturalist-open-data.s3.amazonaws.com/photos/85647850/original.jpg";2020;48.1177035561;-1.6704173577;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
54026321;"https://inaturalist-open-data.s3.amazonaws.com/photos/85947202/original.jpeg";2020;50.1264376;8.6571934;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
54147452;"https://static.inaturalist.org/photos/86142853/original.jpeg";2020;38.9591178418;16.58070568;"Rhamnaceae";"Rhamnaceae";TRUE;"Ziziphus";"Ziziphus";TRUE
54201584;"https://static.inaturalist.org/photos/86233096/original.jpeg";2020;42.5098465197;-83.3823107556;"Asteraceae";"Asteraceae";TRUE;"Cirsium";"Cirsium";TRUE
54307106;"https://static.inaturalist.org/photos/86407177/original.jpg";2020;41.654265357;-91.4839014624;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
54375124;"https://inaturalist-open-data.s3.amazonaws.com/photos/86519875/original.jpg";2020;43.6981914483;-79.2924574957;"Apiaceae";"Apiaceae";TRUE;"Daucus";"Daucus";TRUE
54396179;"https://inaturalist-open-data.s3.amazonaws.com/photos/86552149/original.jpeg";2020;44.9282164;-93.2053822;"Asteraceae";"Asteraceae";TRUE;"Eupatorium";"Eupatorium";TRUE
54549469;"https://inaturalist-open-data.s3.amazonaws.com/photos/86802530/original.jpg";2020;43.1230661344;-79.0500460845;"Lamiaceae";"Lamiaceae";TRUE;"Monarda";"Monarda";TRUE
54570099;"https://inaturalist-open-data.s3.amazonaws.com/photos/86836268/original.jpeg";2020;39.7083749722;-84.05249;"Asteraceae";"Asteraceae";TRUE;"Parthenium";"Parthenium";TRUE
54614111;"https://inaturalist-open-data.s3.amazonaws.com/photos/86909788/original.jpg";2020;50.1273835876;8.6590773795;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
54614467;"https://inaturalist-open-data.s3.amazonaws.com/photos/86910460/original.jpg";2020;50.1274042244;8.6592490367;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
54615467;"https://inaturalist-open-data.s3.amazonaws.com/photos/86912034/original.jpeg";2020;50.1281126453;8.6578971969;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
54701212;"https://inaturalist-open-data.s3.amazonaws.com/photos/87055067/original.jpg";2020;44.72092;-93.13664167;"Fabaceae";"Fabaceae";TRUE;"Melilotus";"Melilotus";TRUE
54750176;"https://static.inaturalist.org/photos/87136631/original.jpg";2020;42.5653819275;-71.3453011774;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
54855792;"https://inaturalist-open-data.s3.amazonaws.com/photos/87308138/original.jpg";2020;42.43056333;-71.12441383;"Apocynaceae";"Apocynaceae";TRUE;"Apocynum";"Apocynum";TRUE
54863553;"https://inaturalist-open-data.s3.amazonaws.com/photos/87321255/original.jpeg";2020;48.5566002447;9.046881181;"Primulaceae";"Primulaceae";TRUE;"Lysimachia";"Lysimachia";TRUE
54867658;"https://inaturalist-open-data.s3.amazonaws.com/photos/87327879/original.jpg";2020;41.12581667;-73.40345833;"Lamiaceae";"Lamiaceae";TRUE;"Pycnanthemum";"Pycnanthemum";TRUE
