"scientific_name";"SampleID";"url";"image_url";"quality_grade";"observed_on";"year";"latitude";"longitude";"positional_accuracy";"place_guess";"user_login";"flora"
"Isodontia mexicana";98285131;"https://www.inaturalist.org/observations/98285131";"https://static.inaturalist.org/photos/163601049/original.jpeg";"research";"2021-10-15";2021;43.0526482115;0.1602385193;7;"65200 Gerde, France";"tomasito65";"k-southwestern-europe"
"Isodontia mexicana";98236381;"https://www.inaturalist.org/observations/98236381";"https://inaturalist-open-data.s3.amazonaws.com/photos/163518075/original.jpeg";"research";"2021-10-14";2021;35.0386522012;-85.2744838223;178;"Orchard Knob, Chattanooga, TN 37404, USA";"respecttheknob";"k-southeastern-u-s-a"
"Isodontia mexicana";98199565;"https://www.inaturalist.org/observations/98199565";"https://static.inaturalist.org/photos/163450821/original.jpeg";"research";"2021-10-14";2021;42.1559997081;2.5404464174;61;"Girona, Espanya";"mafabau";"k-southwestern-europe"
"Isodontia mexicana";98340928;"https://www.inaturalist.org/observations/98340928";"https://inaturalist-open-data.s3.amazonaws.com/photos/163707244/original.jpeg";"research";"2021-10-12";2021;29.3921380953;-98.4966484156;2;"Thelka, San Antonio, TX, USA";"fotosmurf";"k-south-central-u-s-a"
"Isodontia mexicana";98079846;"https://www.inaturalist.org/observations/98079846";"https://inaturalist-open-data.s3.amazonaws.com/photos/163228390/original.jpeg";"research";"2021-10-12";2021;47.5980432968;18.9755728883;2;"Pilisborosjenő, 2097 Hungary";"xespok";"k-middle-europe"
"Isodontia mexicana";150062112;"https://www.inaturalist.org/observations/150062112";"https://inaturalist-open-data.s3.amazonaws.com/photos/258682300/original.jpg";"research";"2021-10-10";2021;48.5169555556;-2.7754972222;NA;"22000 Saint-Brieuc, France";"xhuriez";"k-southwestern-europe"
"Isodontia mexicana";97656527;"https://www.inaturalist.org/observations/97656527";"https://inaturalist-open-data.s3.amazonaws.com/photos/162448280/original.jpeg";"research";"2021-10-09";2021;30.5443698553;-90.9355641394;15;"Livingston Parish, LA, USA";"kpinso";"k-southeastern-u-s-a"
"Isodontia mexicana";99742827;"https://www.inaturalist.org/observations/99742827";"https://inaturalist-open-data.s3.amazonaws.com/photos/166329795/original.jpeg";"research";"2021-10-07";2021;39.3888458676;-84.5755624367;NA;"Ohio, US";"whateverwatcher";"k-northeastern-u-s-a"
"Isodontia mexicana";97507237;"https://www.inaturalist.org/observations/97507237";"https://inaturalist-open-data.s3.amazonaws.com/photos/162175285/original.jpg";"research";"2021-10-07";2021;38.9415605543;-77.3554883057;2;"Reston, VA, USA";"edhass";"k-southeastern-u-s-a"
"Isodontia mexicana";97450415;"https://www.inaturalist.org/observations/97450415";"https://inaturalist-open-data.s3.amazonaws.com/photos/162072186/original.jpeg";"research";"2021-10-07";2021;43.1489378568;-76.2365950599;15;"New York, US";"dessito";"k-northeastern-u-s-a"
"Isodontia mexicana";97347727;"https://www.inaturalist.org/observations/97347727";"https://inaturalist-open-data.s3.amazonaws.com/photos/161885523/original.jpeg";"research";"2021-10-06";2021;48.8996029941;2.3383639008;182;"Jardin René Binet";"fannyradix";"k-southwestern-europe"
"Isodontia mexicana";97400104;"https://www.inaturalist.org/observations/97400104";"https://inaturalist-open-data.s3.amazonaws.com/photos/161978588/original.jpg";"research";"2021-10-05";2021;45.3419507037;-73.7691164017;61;"Centre écologique Fernand-Séguin, Châteauguay, QC, Canada";"marieliseb";"k-eastern-canada"
"Isodontia mexicana";99299155;"https://www.inaturalist.org/observations/99299155";"https://inaturalist-open-data.s3.amazonaws.com/photos/165505776/original.jpeg";"research";"2021-10-05";2021;29.5815836492;-95.4147668001;151;"Shadow Creek Ranch, Pearland, TX, USA";"sarinole";"k-south-central-u-s-a"
"Isodontia mexicana";97301724;"https://www.inaturalist.org/observations/97301724";"https://inaturalist-open-data.s3.amazonaws.com/photos/161796030/original.jpg";"research";"2021-10-05";2021;30.4544716667;-97.7989616667;NA;"Anderson Mill, Austin, TX 78750, USA";"rkostecke";"k-south-central-u-s-a"
"Isodontia mexicana";99181629;"https://www.inaturalist.org/observations/99181629";"https://inaturalist-open-data.s3.amazonaws.com/photos/165284855/original.jpeg";"research";"2021-10-05";2021;29.6445750396;-95.3362742808;49;"South Acres / Crestmont Park, Houston, TX, USA";"sarinole";"k-south-central-u-s-a"
"Isodontia mexicana";97875792;"https://www.inaturalist.org/observations/97875792";"https://inaturalist-open-data.s3.amazonaws.com/photos/162851299/original.jpg";"research";"2021-10-05";2021;48.56562;16.851035;NA;"Niederabsdorf, Österreich";"martha2408";"k-middle-europe"
"Isodontia mexicana";104807125;"https://www.inaturalist.org/observations/104807125";"https://inaturalist-open-data.s3.amazonaws.com/photos/175699453/original.jpeg";"research";"2021-10-04";2021;47.5980447903;18.9755699318;2;"Pilisborosjenő, 2097 Hungary";"xespok";"k-middle-europe"
"Isodontia mexicana";99819072;"https://www.inaturalist.org/observations/99819072";"https://inaturalist-open-data.s3.amazonaws.com/photos/166483058/original.jpeg";"research";"2021-10-04";2021;47.6704383333;16.1325616667;NA;"Neunkirchen, Niederösterreich, Austria";"waldgeist";"k-middle-europe"
"Isodontia mexicana";97210431;"https://www.inaturalist.org/observations/97210431";"https://inaturalist-open-data.s3.amazonaws.com/photos/161625367/original.jpeg";"research";"2021-10-03";2021;35.6530918824;-97.5269716255;2;"Northwest Oklahoma City, Oklahoma City, OK, USA";"mparks10";"k-north-central-u-s-a"
"Isodontia mexicana";99781273;"https://www.inaturalist.org/observations/99781273";"https://inaturalist-open-data.s3.amazonaws.com/photos/166413588/original.jpeg";"research";"2021-10-03";2021;47.6663966667;16.136035;NA;"Neunkirchen, Niederösterreich, Austria";"waldgeist";"k-middle-europe"
"Isodontia mexicana";99779820;"https://www.inaturalist.org/observations/99779820";"https://inaturalist-open-data.s3.amazonaws.com/photos/166410319/original.jpeg";"research";"2021-10-03";2021;47.6576783333;16.1460266667;NA;"Neunkirchen, Niederösterreich, Austria";"waldgeist";"k-middle-europe"
"Isodontia mexicana";96883693;"https://www.inaturalist.org/observations/96883693";"https://inaturalist-open-data.s3.amazonaws.com/photos/161019313/original.jpeg";"research";"2021-10-02";2021;51.2009666365;6.8227816746;268;"40229 Düsseldorf, Deutschland";"trufniets";"k-middle-europe"
"Isodontia mexicana";97211514;"https://www.inaturalist.org/observations/97211514";"https://inaturalist-open-data.s3.amazonaws.com/photos/161627407/original.jpeg";"research";"2021-10-01";2021;31.9861466667;-95.88817;NA;"Anderson County, TX, USA";"jcochran706";"k-south-central-u-s-a"
"Isodontia mexicana";97209361;"https://www.inaturalist.org/observations/97209361";"https://inaturalist-open-data.s3.amazonaws.com/photos/161623548/original.jpeg";"research";"2021-10-01";2021;31.9862383333;-95.8881566667;NA;"Anderson County, TX, USA";"jcochran706";"k-south-central-u-s-a"
"Isodontia mexicana";97120022;"https://www.inaturalist.org/observations/97120022";"https://static.inaturalist.org/photos/161453551/original.jpg";"research";"2021-10-01";2021;45.0735388333;-92.92015;10;"Jamaca Ave N, Grant, MN, US";"margie58";"k-north-central-u-s-a"
"Isodontia mexicana";96834616;"https://www.inaturalist.org/observations/96834616";"https://inaturalist-open-data.s3.amazonaws.com/photos/160929537/original.jpeg";"research";"2021-10-01";2021;48.3499455997;16.2723146997;NA;"Höflein/Donau, 3421 Klosterneuburg, Österreich";"agtila";"k-middle-europe"
"Isodontia mexicana";96780687;"https://www.inaturalist.org/observations/96780687";"https://inaturalist-open-data.s3.amazonaws.com/photos/160835927/original.jpeg";"research";"2021-10-01";2021;51.2009666365;6.8227816746;268;"40229 Düsseldorf, Deutschland";"trufniets";"k-middle-europe"
"Isodontia mexicana";96781172;"https://www.inaturalist.org/observations/96781172";"https://inaturalist-open-data.s3.amazonaws.com/photos/160836773/original.jpg";"research";"2021-10-01";2021;45.2852741126;0.9296479189;3469;"Mayac, Aquitaine, FR";"fanfan24";"k-southwestern-europe"
"Isodontia mexicana";96787735;"https://www.inaturalist.org/observations/96787735";"https://static.inaturalist.org/photos/160847490/original.jpg";"research";"2021-10-01";2021;43.1090888333;2.0195945;12;"Le Village, Escueillens-et-Saint-Just-de-Bélengard, Languedoc, FR";"simone_tardivel";"k-southwestern-europe"
"Isodontia mexicana";96722595;"https://www.inaturalist.org/observations/96722595";"https://inaturalist-open-data.s3.amazonaws.com/photos/160728381/original.jpg";"research";"2021-09-30";2021;44.9304965476;-93.2151161288;15;"Howe, Minneapolis, MN 55406, USA";"harpo";"k-north-central-u-s-a"
"Isodontia mexicana";96589168;"https://www.inaturalist.org/observations/96589168";"https://inaturalist-open-data.s3.amazonaws.com/photos/160487142/original.jpeg";"research";"2021-09-29";2021;52.2706405713;10.533699654;7;"Braunschweig, Botan. Garten, 38106 Braunschweig, Deutschland";"ceffx";"k-middle-europe"
"Isodontia mexicana";96519869;"https://www.inaturalist.org/observations/96519869";"https://inaturalist-open-data.s3.amazonaws.com/photos/160361740/original.jpeg";"research";"2021-09-28";2021;29.5168630954;-95.5202087294;NA;"Texas, US";"rednat";"k-south-central-u-s-a"
"Isodontia mexicana";96537403;"https://www.inaturalist.org/observations/96537403";"https://inaturalist-open-data.s3.amazonaws.com/photos/160385818/original.jpeg";"research";"2021-09-28";2021;41.632505366;-83.7443582582;178;"Lucas County, US-OH, US";"kimsmith";"k-northeastern-u-s-a"
"Isodontia mexicana";96350725;"https://www.inaturalist.org/observations/96350725";"https://inaturalist-open-data.s3.amazonaws.com/photos/160059340/original.jpg";"research";"2021-09-27";2021;47.4052916667;8.4082966667;4;"Im Chöpfli, Unterengstringen, Zürich, CH";"natalieraeber";"k-middle-europe"
"Isodontia mexicana";96291036;"https://www.inaturalist.org/observations/96291036";"https://inaturalist-open-data.s3.amazonaws.com/photos/159947746/original.jpeg";"research";"2021-09-26";2021;38.051973;-122.2269839;35;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";96162842;"https://www.inaturalist.org/observations/96162842";"https://inaturalist-open-data.s3.amazonaws.com/photos/159720543/original.jpg";"research";"2021-09-25";2021;44.0209672;-123.0869101;184;"E 33rd Ave, Eugene, OR 97405, USA";"bog31";"k-northwestern-u-s-a"
"Isodontia mexicana";96222615;"https://www.inaturalist.org/observations/96222615";"https://inaturalist-open-data.s3.amazonaws.com/photos/159828599/original.jpeg";"research";"2021-09-25";2021;40.660545;-73.963057;NA;"Ocean Av/Lincoln Rd, Brooklyn, NY 11225, USA";"jfmantis";"k-northeastern-u-s-a"
"Isodontia mexicana";96136698;"https://www.inaturalist.org/observations/96136698";"https://static.inaturalist.org/photos/159674037/original.jpg";"research";"2021-09-25";2021;42.4524858765;-71.2470303345;300;"Lexington, MA, USA";"rosymaplemoths4";"k-northeastern-u-s-a"
"Isodontia mexicana";260636996;"https://www.inaturalist.org/observations/260636996";"https://inaturalist-open-data.s3.amazonaws.com/photos/468096732/original.jpeg";"research";"2021-09-25";2021;46.9182127761;15.5771778355;2;"Allerheiligen bei Wildon, Österreich";"sabine-g";"k-middle-europe"
"Isodontia mexicana";96178179;"https://www.inaturalist.org/observations/96178179";"https://inaturalist-open-data.s3.amazonaws.com/photos/159749303/original.jpeg";"research";"2021-09-24";2021;29.6156921;-95.5166802;198;"1122 Buffalo Run, Missouri City, TX 77489, USA";"sarinole";"k-south-central-u-s-a"
"Isodontia mexicana";95975161;"https://www.inaturalist.org/observations/95975161";"https://static.inaturalist.org/photos/159392591/original.jpg";"research";"2021-09-24";2021;47.69417;-122.3551395;866;"Greenwood Ave N, Seattle, WA, US";"s107";"k-northwestern-u-s-a"
"Isodontia mexicana";95971257;"https://www.inaturalist.org/observations/95971257";"https://inaturalist-open-data.s3.amazonaws.com/photos/159386022/original.jpg";"research";"2021-09-24";2021;52.485245;13.3664083333;15;"Kolonnenstraße, Berlin, Berlin, DE";"cracticus";"k-middle-europe"
"Isodontia mexicana";95982220;"https://www.inaturalist.org/observations/95982220";"https://inaturalist-open-data.s3.amazonaws.com/photos/159403416/original.jpg";"research";"2021-09-24";2021;48.0010257495;16.2737213666;8;"Traiskirchen, Österreich";"martin_der_prinz";"k-middle-europe"
"Isodontia mexicana";95890340;"https://www.inaturalist.org/observations/95890340";"https://inaturalist-open-data.s3.amazonaws.com/photos/159243436/original.jpg";"research";"2021-09-23";2021;44.8069529744;-93.008589832;2;"Minnesota, US";"comohabitat";"k-north-central-u-s-a"
"Isodontia mexicana";95818598;"https://www.inaturalist.org/observations/95818598";"https://inaturalist-open-data.s3.amazonaws.com/photos/159116687/original.jpeg";"research";"2021-09-22";2021;38.051973;-122.2269839;36;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";98595685;"https://www.inaturalist.org/observations/98595685";"https://inaturalist-open-data.s3.amazonaws.com/photos/164191237/original.jpg";"research";"2021-09-22";2021;48.134480966;11.6132673798;4;"Au-Haidhausen, München, Deutschland";"birdingjulia";"k-middle-europe"
"Isodontia mexicana";95763958;"https://www.inaturalist.org/observations/95763958";"https://static.inaturalist.org/photos/159018568/original.jpeg";"research";"2021-09-22";2021;42.1559038645;2.539757378;61;"Girona, Espanya";"mafabau";"k-southwestern-europe"
"Isodontia mexicana";95706383;"https://www.inaturalist.org/observations/95706383";"https://inaturalist-open-data.s3.amazonaws.com/photos/158915005/original.jpeg";"research";"2021-09-21";2021;40.1601822057;-74.2805064181;64;"New Jersey, US";"miya_";"k-northeastern-u-s-a"
"Isodontia mexicana";95645351;"https://www.inaturalist.org/observations/95645351";"https://inaturalist-open-data.s3.amazonaws.com/photos/158806781/original.jpg";"research";"2021-09-21";2021;50.1211471667;8.6690616667;5;"Telemannstraße, Frankfurt am Main, Hessen, DE";"racn123";"k-middle-europe"
"Isodontia mexicana";95585398;"https://www.inaturalist.org/observations/95585398";"https://static.inaturalist.org/photos/158702849/original.jpeg";"research";"2021-09-20";2021;38.520474;-90.369157;NA;"St. Louis County, US-MO, US";"nancy525";"k-north-central-u-s-a"
"Isodontia mexicana";95877734;"https://www.inaturalist.org/observations/95877734";"https://inaturalist-open-data.s3.amazonaws.com/photos/159219781/original.jpeg";"research";"2021-09-20";2021;47.5540550027;-122.1174144932;325;"Chandler Park Area, Cougar Mountain, Bellevue, WA, USA";"natureguy";"k-northwestern-u-s-a"
"Isodontia mexicana";95528324;"https://www.inaturalist.org/observations/95528324";"https://static.inaturalist.org/photos/158602431/original.jpeg";"research";"2021-09-20";2021;48.1199259768;16.8610789999;9;"Petronell, 2404, Österreich";"vogelschurl";"k-middle-europe"
"Isodontia mexicana";95486442;"https://www.inaturalist.org/observations/95486442";"https://inaturalist-open-data.s3.amazonaws.com/photos/158527347/original.jpeg";"research";"2021-09-19";2021;45.4750611111;-122.5612916667;NA;"Lents, Portland, OR, USA";"geographerdave";"k-northwestern-u-s-a"
"Isodontia mexicana";95475294;"https://www.inaturalist.org/observations/95475294";"https://inaturalist-open-data.s3.amazonaws.com/photos/158506564/original.jpeg";"research";"2021-09-19";2021;38.051973;-122.2269839;36;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";95708847;"https://www.inaturalist.org/observations/95708847";"https://inaturalist-open-data.s3.amazonaws.com/photos/158919805/original.jpg";"research";"2021-09-19";2021;42.666740861;-71.6044784252;31;"Heald Orchard, Pepperell, MA 01463, USA";"robertgessing";"k-northeastern-u-s-a"
"Isodontia mexicana";95494847;"https://www.inaturalist.org/observations/95494847";"https://static.inaturalist.org/photos/158542788/original.jpg";"research";"2021-09-19";2021;41.2031533333;-73.64058;4;"Pound Ridge Rd, Bedford, NY, US";"swampchicken";"k-northeastern-u-s-a"
"Isodontia mexicana";95486676;"https://www.inaturalist.org/observations/95486676";"https://inaturalist-open-data.s3.amazonaws.com/photos/158531011/original.jpeg";"research";"2021-09-19";2021;40.1193680424;-74.212161834;64;"New Jersey, US";"miya_";"k-northeastern-u-s-a"
"Isodontia mexicana";95379201;"https://www.inaturalist.org/observations/95379201";"https://static.inaturalist.org/photos/158337307/original.jpeg";"research";"2021-09-19";2021;49.8608573014;8.7517122366;9;"Roßdorf, 64380 Roßdorf, Deutschland";"christophvonbeeren";"k-middle-europe"
"Isodontia mexicana";95310947;"https://www.inaturalist.org/observations/95310947";"https://static.inaturalist.org/photos/158210948/original.jpeg";"research";"2021-09-18";2021;40.1301862946;-86.6071722284;5;"Thorntown, IN 46071, USA";"haley141";"k-northeastern-u-s-a"
"Isodontia mexicana";95356287;"https://www.inaturalist.org/observations/95356287";"https://inaturalist-open-data.s3.amazonaws.com/photos/158295183/original.jpeg";"research";"2021-09-18";2021;38.051973;-122.2269839;36;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";95378287;"https://www.inaturalist.org/observations/95378287";"https://inaturalist-open-data.s3.amazonaws.com/photos/158335655/original.jpeg";"research";"2021-09-18";2021;42.282887;-83.3932065997;NA;"Wayne, MI 48184, USA";"cindilou";"k-northeastern-u-s-a"
"Isodontia mexicana";95295352;"https://www.inaturalist.org/observations/95295352";"https://inaturalist-open-data.s3.amazonaws.com/photos/158183967/original.jpg";"research";"2021-09-18";2021;46.8150833333;7.2129383333;4;"Hubelweg, Tafers, Freiburg, CH";"ottokolly";"k-middle-europe"
"Isodontia mexicana";96185770;"https://www.inaturalist.org/observations/96185770";"https://static.inaturalist.org/photos/159764270/original.jpeg";"research";"2021-09-18";2021;44.840798;-93.2982799;8350;"Bloomington, MN, USA";"tefetro";"k-north-central-u-s-a"
"Isodontia mexicana";104649123;"https://www.inaturalist.org/observations/104649123";"https://inaturalist-open-data.s3.amazonaws.com/photos/175395985/original.jpg";"research";"2021-09-17";2021;39.3119274906;-76.7764361704;200;"Parkview Trail, MD, USA";"frodejacobsen";"k-southeastern-u-s-a"
"Isodontia mexicana";95093485;"https://www.inaturalist.org/observations/95093485";"https://inaturalist-open-data.s3.amazonaws.com/photos/157826950/original.jpeg";"research";"2021-09-16";2021;38.051973;-122.2269839;35;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";95092793;"https://www.inaturalist.org/observations/95092793";"https://inaturalist-open-data.s3.amazonaws.com/photos/157825426/original.jpeg";"research";"2021-09-16";2021;38.051973;-122.2269839;35;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
"Isodontia mexicana";95056433;"https://www.inaturalist.org/observations/95056433";"https://static.inaturalist.org/photos/157761323/original.jpg";"research";"2021-09-16";2021;46.4818883333;6.815505;16;"Chemin du Bois-de-Ruz, Le Mont-Pèlerin, Vaud, CH";"nbonzon";"k-middle-europe"
"Isodontia mexicana";290644792;"https://www.inaturalist.org/observations/290644792";"https://inaturalist-open-data.s3.amazonaws.com/photos/522871496/original.jpg";"research";"2021-09-16";2021;52.4663680139;13.3623318546;61;"Berlin-Bezirk Tempelhof-Schöneberg, Deutschland";"christian_neumann";"k-middle-europe"
"Isodontia mexicana";94954287;"https://www.inaturalist.org/observations/94954287";"https://inaturalist-open-data.s3.amazonaws.com/photos/157574481/original.jpeg";"research";"2021-09-15";2021;41.916343689;-73.0787353516;65;"Winsted";"pamelacny";"k-northeastern-u-s-a"
"Isodontia mexicana";94935949;"https://www.inaturalist.org/observations/94935949";"https://inaturalist-open-data.s3.amazonaws.com/photos/157542278/original.jpeg";"research";"2021-09-15";2021;49.1793013647;9.4900662079;6;"Windischenbach, 74629 Pfedelbach, Deutschland";"bruddler";"k-middle-europe"
"Isodontia mexicana";94944072;"https://www.inaturalist.org/observations/94944072";"https://static.inaturalist.org/photos/157555872/original.jpg";"research";"2021-09-15";2021;46.7280662817;15.6206701783;NA;"Leibnitz, Österreich";"paulsch";"k-southeastern-europe"
"Isodontia mexicana";94865984;"https://www.inaturalist.org/observations/94865984";"https://inaturalist-open-data.s3.amazonaws.com/photos/157415275/original.jpg";"research";"2021-09-14";2021;40.4572874995;-80.0053177511;35;"Press Way, Pittsburgh, PA, US";"elschongar";"k-northeastern-u-s-a"
"Isodontia mexicana";96340336;"https://www.inaturalist.org/observations/96340336";"https://inaturalist-open-data.s3.amazonaws.com/photos/160040637/original.jpeg";"research";"2021-09-14";2021;42.2828684997;-83.3931436;NA;"Wayne, MI 48184, USA";"cindilou";"k-northeastern-u-s-a"
"Isodontia mexicana";95058472;"https://www.inaturalist.org/observations/95058472";"https://inaturalist-open-data.s3.amazonaws.com/photos/157764270/original.jpeg";"research";"2021-09-14";2021;48.7039120997;2.0708079997;NA;"Saint-Rémy-lès-Chevreuse, France";"desplis";"k-southwestern-europe"
"Isodontia mexicana";94952556;"https://www.inaturalist.org/observations/94952556";"https://inaturalist-open-data.s3.amazonaws.com/photos/157568549/original.jpeg";"research";"2021-09-13";2021;47.5540550027;-122.1174144932;325;"Chandler Park Area, Cougar Mountain, Bellevue, WA, USA";"natureguy";"k-northwestern-u-s-a"
"Isodontia mexicana";94711201;"https://www.inaturalist.org/observations/94711201";"https://static.inaturalist.org/photos/157145270/original.jpeg";"research";"2021-09-13";2021;48.226517;4.70171;NA;"Bar-sur-Aube Lycée, 10200 Bar-sur-Aube, France";"lefebvremax";"k-southwestern-europe"
"Isodontia mexicana";94694714;"https://www.inaturalist.org/observations/94694714";"https://inaturalist-open-data.s3.amazonaws.com/photos/157115805/original.jpg";"research";"2021-09-13";2021;49.4092930438;8.3935602928;355;"Birkenweg, Limburgerhof, Rheinland-Pfalz, DE";"matpfalz";"k-middle-europe"
"Isodontia mexicana";103453672;"https://www.inaturalist.org/observations/103453672";"https://static.inaturalist.org/photos/173147408/original.jpeg";"research";"2021-09-12";2021;39.3116467254;-94.9186230852;5;"Leavenworth, KS, USA";"bug_eric";"k-north-central-u-s-a"
"Isodontia mexicana";94825166;"https://www.inaturalist.org/observations/94825166";"https://inaturalist-open-data.s3.amazonaws.com/photos/157344565/original.jpeg";"research";"2021-09-12";2021;40.7805299712;-73.9706726992;296;"Central Park West Historic District, New York, NY, USA";"filiperibeiro";"k-northeastern-u-s-a"
"Isodontia mexicana";94641868;"https://www.inaturalist.org/observations/94641868";"https://inaturalist-open-data.s3.amazonaws.com/photos/157019554/original.jpg";"research";"2021-09-12";2021;52.4686891071;13.4351499268;19;"Emser Straße, Berlin, Berlin, DE";"frederic_griesbaum";"k-middle-europe"
"Isodontia mexicana";94567398;"https://www.inaturalist.org/observations/94567398";"https://inaturalist-open-data.s3.amazonaws.com/photos/156887475/original.jpeg";"research";"2021-09-11";2021;38.7816696653;-77.801654646;2;"Fauquier County, VA, USA";"bertharris";"k-southeastern-u-s-a"
"Isodontia mexicana";96005861;"https://www.inaturalist.org/observations/96005861";"https://inaturalist-open-data.s3.amazonaws.com/photos/159444845/original.jpeg";"research";"2021-09-10";2021;45.7622404466;5.0855931828;18;"69330 Pusignan, France";"jeraz";"k-southwestern-europe"
"Isodontia mexicana";94804780;"https://www.inaturalist.org/observations/94804780";"https://static.inaturalist.org/photos/157310411/original.jpg";"research";"2021-09-10";2021;41.5661366667;-72.0558695;65;"Pratte Ave, Norwich, CT, US";"allisonbf";"k-northeastern-u-s-a"
"Isodontia mexicana";94334520;"https://www.inaturalist.org/observations/94334520";"https://static.inaturalist.org/photos/156473163/original.jpeg";"research";"2021-09-10";2021;48.2261489722;4.701925;NA;"Bar-sur-Aube Lycée, 10200 Bar-sur-Aube, France";"lefebvremax";"k-southwestern-europe"
"Isodontia mexicana";106269278;"https://www.inaturalist.org/observations/106269278";"https://inaturalist-open-data.s3.amazonaws.com/photos/178491087/original.jpeg";"research";"2021-09-10";2021;43.8315239084;1.2044415995;7;"82600 Savenès, France";"ivanj";"k-southwestern-europe"
"Isodontia mexicana";94295825;"https://www.inaturalist.org/observations/94295825";"https://inaturalist-open-data.s3.amazonaws.com/photos/156407904/original.jpeg";"research";"2021-09-09";2021;38.051973;-122.2269839;31;"825 7th Ave, Crockett, CA 94525, USA";"greengras2000";"k-southwestern-u-s-a"
