"SampleID";"scientific_name";"latitude";"longitude";"url";"image_url";"observed_on";"positional_accuracy";"year";"species_exp_original";"species_exp";"genus_exp_original";"genus_exp";"family_exp_original";"family_exp";"type";"colour";"interaction"
1525;"Isodontia mexicana";44.36260573;-68.20819902;"https://www.inaturalist.org/observations/88148358";"https://inaturalist-open-data.s3.amazonaws.com/photos/145401808/medium.jpg";"22/07/2021";9;2021;"Aralia hispida";"Aralia hispida";"Aralia";"Aralia";"Araliaceae";"Araliaceae";"plant_flower";"white";"feeding"
1722;"Isodontia mexicana";32.81044575;-97.25898153;"https://www.inaturalist.org/observations/80059681";"https://static.inaturalist.org/photos/131182574/medium.jpg";"23/05/2021";15;2021;"Asclepias curassavica";"Asclepias curassavica";"Asclepias";"Asclepias";"Apocynaceae";"Apocynaceae";"plant_flower";"orange";"feeding"
878;"Isodontia mexicana";40.79334064;-73.95223894;"https://www.inaturalist.org/observations/56878557";"https://inaturalist-open-data.s3.amazonaws.com/photos/90675001/medium.jpg";"18/08/2020";30;2020;"Asclepias curassavica";"Asclepias curassavica";"Asclepias";"Asclepias";"apocynaceae";"Apocynaceae";"plant_flower";"red/orange";"feeding"
1228;"Isodontia mexicana";44.145725;-94.00920833;"https://www.inaturalist.org/observations/97709224";"https://static.inaturalist.org/photos/162541847/medium.jpg";"29/08/2021";4;2021;"Asclepias syriaca";"Asclepias syriaca";"Asclepias";"Asclepias";"Apocynaceae";"Apocynaceae";"plant_no_flower";"noflower";
1588;"Isodontia mexicana";41.45003965;-70.56629231;"https://www.inaturalist.org/observations/86460987";"https://inaturalist-open-data.s3.amazonaws.com/photos/142432723/medium.jpeg";"10/07/2021";4;2021;"Asclepia tuberosa";"Asclepias tuberosa";"Asclepias";"Asclepias";"Apocynaceae";"Apocynaceae";"plant_flower";"orange";"feeding"
1659;"Isodontia mexicana";50.12354488;8.655219739;"https://www.inaturalist.org/observations/84882263";"https://inaturalist-open-data.s3.amazonaws.com/photos/139567452/medium.jpg";"28/06/2021";31;2021;"Astrantia major";"Astrantia major";"Astrantia";"Astrantia";"Apiaceae";"Apiaceae";"plant_flower";"pink";"feeding"
1580;"Isodontia mexicana";47.62404954;-122.2052389;"https://www.inaturalist.org/observations/86656197";"https://inaturalist-open-data.s3.amazonaws.com/photos/142793671/medium.jpeg";"11/07/2021";65;2021;"Astrantia major";"Astrantia major";"Astrantia";"Astrantia";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1045;"Isodontia mexicana";47.33090327;9.783266473;"https://www.inaturalist.org/observations/53822481";"https://inaturalist-open-data.s3.amazonaws.com/photos/85614201/medium.jpeg";"19/07/2020";;2020;"Astrantia minor";"Astrantia minor";"Astrantia";"Astrantia";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1391;"Isodontia mexicana";38.0191583;-122.2795207;"https://www.inaturalist.org/observations/91336295";"https://inaturalist-open-data.s3.amazonaws.com/photos/151058133/medium.jpeg";"15/08/2021";104;2021;"Baccharis douglasii";"Baccharis douglasii";"Baccharis";"Baccharis";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1516;"Isodontia mexicana";49.85771786;8.638473228;"https://www.inaturalist.org/observations/88393528";"https://inaturalist-open-data.s3.amazonaws.com/photos/145836871/medium.jpeg";"24/07/2021";15;2021;"Berteroa incana";"Berteroa incana";"Berteroa";"Berteroa";"Brassicaceae";"Brassicaceae";"plant_flower";"white";"feeding"
1062;"Isodontia mexicana";34.05812159;-80.96948639;"https://www.inaturalist.org/observations/53428818";"https://inaturalist-open-data.s3.amazonaws.com/photos/84977450/medium.jpg";"17/07/2020";5;2020;"Campsis radicans";"Campsis radicans";"Campsis";"Campsis";"Bignoniaceae";"Bignoniaceae";"plant_flower";"red/orange";"feeding"
1103;"Isodontia mexicana";46.175978;6.122136;"https://www.inaturalist.org/observations/52067242";"https://inaturalist-open-data.s3.amazonaws.com/photos/82747859/medium.jpg";"05/07/2020";;2020;"Campsis radicans";"Campsis radicans";"Campsis";"Campsis";"Bignoniaceae";"Bignoniaceae";"plant_flower";"red/orange";"feeding"
1370;"Isodontia mexicana";45.75241332;-122.7678861;"https://www.inaturalist.org/observations/91802253";"https://inaturalist-open-data.s3.amazonaws.com/photos/151909283/medium.jpeg";"19/08/2021";;2021;"Campsis radicans";"Campsis radicans";"Campsis";"Campsis";"Bignoniaceae";"Bignoniaceae";"plant_flower";"red-orange";
1529;"Isodontia mexicana";40.65311543;-73.99349656;"https://www.inaturalist.org/observations/87919992";"https://inaturalist-open-data.s3.amazonaws.com/photos/145002883/medium.jpeg";"18/07/2021";628;2021;"Campsis radicans";"Campsis radicans";"Campsis";"Campsis";"Bignoniaceae";"Bignoniaceae";"plant_flower";"yellow/orange";
1549;"Isodontia mexicana";40.65064271;-73.99291071;"https://www.inaturalist.org/observations/87433642";"https://inaturalist-open-data.s3.amazonaws.com/photos/144152049/medium.jpeg";"17/07/2021";15;2021;"Campsis radicans";"Campsis radicans";"Campsis";"Campsis";"Bignoniaceae";"Bignoniaceae";"plant_flower";"yellow/orange";"feeding"
573;"Isodontia mexicana";43.54811167;-80.22718833;"https://www.inaturalist.org/observations/28530432";"https://inaturalist-open-data.s3.amazonaws.com/photos/44481253/medium.jpg";"09/07/2019";6;2019;"Ceanothus americanus";"Ceanothus americanus";"Ceanothus";"Ceanothus";"Rhamnaceae";"Rhamnaceae";"plant_flower";"white";"feeding"
1671;"Isodontia mexicana";44.92070868;-93.46416892;"https://www.inaturalist.org/observations/84469580";"https://inaturalist-open-data.s3.amazonaws.com/photos/138836222/medium.jpg";"25/06/2021";11;2021;"Ceanothus herbaceus";"Ceanothus herbaceus";"Ceanothus";"Ceanothus";"Rhamnaceae";"Rhamnaceae";"plant_flower";"white";"feeding"
1155;"Isodontia mexicana";48.000552;3.729512;"https://www.inaturalist.org/observations/49209507";"https://inaturalist-open-data.s3.amazonaws.com/photos/78112902/medium.jpg";"10/06/2020";5013;2020;"Chaerophyllum temulum";"Chaerophyllum temulum";"Chaerophyllum";"Chaerophyllum";"Apiaceae";"Apiaceae";"plant_no_flower";"noflower";"preying"
518;"Isodontia mexicana";48.11455691;-1.656399637;"https://www.inaturalist.org/observations/29904438";"https://inaturalist-open-data.s3.amazonaws.com/photos/46696786/medium.jpg";"29/07/2019";2;2019;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"lilac";"feeding"
714;"Isodontia mexicana";39.85622581;-86.10551021;"https://www.inaturalist.org/observations/60105060";"https://inaturalist-open-data.s3.amazonaws.com/photos/96082651/medium.jpg";"19/09/2020";10;2020;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"pink/purple";"feeding"
3;"Isodontia mexicana";42.811502;-85.73336;"https://www.inaturalist.org/observations/27639832";"https://inaturalist-open-data.s3.amazonaws.com/photos/43024735/medium.jpeg";"08/08/2009";;2009;"Cirsium arvensae";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"purple";"feeding"
235;"Isodontia mexicana";43.57460141;-80.23712502;"https://www.inaturalist.org/observations/15301175";"https://inaturalist-open-data.s3.amazonaws.com/photos/22904656/medium.jpeg";"09/08/2018";1019;2018;"Cirsium arvensae";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"purple";"feeding"
1110;"Isodontia mexicana";46.77185822;0.532826781;"https://www.inaturalist.org/observations/51915884";"https://inaturalist-open-data.s3.amazonaws.com/photos/82504890/medium.jpg";"01/07/2020";;2020;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"purple";"feeding"
1323;"Isodontia mexicana";50.17101103;8.63144439;"https://www.inaturalist.org/observations/93246008";"https://inaturalist-open-data.s3.amazonaws.com/photos/154519395/medium.jpg";"01/09/2021";4;2021;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"Purple";"feeding"
1336;"Isodontia mexicana";47.4955888;7.640027381;"https://www.inaturalist.org/observations/92842657";"https://inaturalist-open-data.s3.amazonaws.com/photos/153785244/medium.jpg";"24/08/2021";22;2021;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"Purple";"feeding"
1368;"Isodontia mexicana";42.57266137;0.313144215;"https://www.inaturalist.org/observations/91828348";"https://inaturalist-open-data.s3.amazonaws.com/photos/151957474/medium.jpeg";"19/08/2021";24;2021;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"Purple";"feeding"
1559;"Isodontia mexicana";43.72384216;-79.36479118;"https://www.inaturalist.org/observations/87212559";"https://inaturalist-open-data.s3.amazonaws.com/photos/143731129/medium.jpeg";"14/07/2021";520;2021;"Cirsium arvense";"Cirsium arvense";"Cirsium";"Cirsium";"Asteraceae";"Asteraceae";"plant_flower";"purple";"feeding"
1105;"Isodontia mexicana";41.92642593;-8.806820869;"https://www.inaturalist.org/observations/52001045";"https://static.inaturalist.org/photos/82646420/medium.jpeg";"05/07/2020";;2020;"Cistus inflatus";"Cistus inflatus";"Cistus";"Cistus";"Cistaceae";"Cistaceae";"plant_flower";"white/yellow";"feeding"
621;"Isodontia mexicana";42.52950703;-76.43071317;"https://www.inaturalist.org/observations/96184874";"https://inaturalist-open-data.s3.amazonaws.com/photos/159762622/medium.jpeg";"20/08/2020";186;2020;"Clematis virginiana";"Clematis virginiana";"Clematis";"Clematis";"Ranunculaceae";"Ranunculaceae";"plant_flower";"white";"feeding"
431;"Isodontia mexicana";41.85612833;-70.60208833;"https://www.inaturalist.org/observations/31609086";"https://inaturalist-open-data.s3.amazonaws.com/photos/49486035/medium.jpg";"27/08/2019";10;2019;"Clethra alnifolia";"Clethra alnifolia";"Clethra";"Clethra";"Clethraceae";"Clethraceae";"plant_flower";"white";"feeding"
898;"Isodontia mexicana";45.46466335;-73.79019719;"https://www.inaturalist.org/observations/56574307";"https://inaturalist-open-data.s3.amazonaws.com/photos/90165914/medium.jpg";"14/08/2020";7813;2020;"Coriandrum sativum";"Coriandrum sativum";"Coriandrum";"Coriandrum";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1057;"Isodontia mexicana";47.67511167;-122.3532867;"https://www.inaturalist.org/observations/53564375";"https://inaturalist-open-data.s3.amazonaws.com/photos/85200781/medium.jpg";"18/07/2020";;2020;"Coriandrum sativum";"Coriandrum sativum";"Coriandrum";"Coriandrum";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1088;"Isodontia mexicana";47.7270393;-122.3953151;"https://www.inaturalist.org/observations/52411678";"https://inaturalist-open-data.s3.amazonaws.com/photos/83315140/medium.jpg";"06/07/2020";70714;2020;"Coriandrum sativum";"Coriandrum sativum";"Coriandrum";"Coriandrum";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1170;"Isodontia mexicana";49.39040329;8.681468703;"https://www.inaturalist.org/observations/47960931";"https://inaturalist-open-data.s3.amazonaws.com/photos/76083131/medium.jpg";"31/05/2020";10;2020;"Coriandrum sativum";"Coriandrum sativum";"Coriandrum";"Coriandrum";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1530;"Isodontia mexicana";47.55978394;-122.3176956;"https://www.inaturalist.org/observations/87917459";"https://inaturalist-open-data.s3.amazonaws.com/photos/145011014/medium.jpeg";"20/07/2021";237;2021;"Coriandrum sativum";"Coriandrum sativum";"Coriandrum";"Coriandrum";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1699;"Isodontia mexicana";45.01605276;-74.76688343;"https://www.inaturalist.org/observations/82783664";"https://inaturalist-open-data.s3.amazonaws.com/photos/135899890/medium.jpg";"12/06/2021";24;2021;"Cornus sanguinea";"Cornus sanguinea";"Cornus";"Cornus";"Cornaceae";"Cornaceae";"plant_flower";"white";"feeding"
1181;"Isodontia mexicana";45.42049167;-75.68291667;"https://www.inaturalist.org/observations/107237741";"https://inaturalist-open-data.s3.amazonaws.com/photos/180313565/medium.jpeg";"09/08/2021";;2021;"Dasiphora fruticosa";"Dasiphora fruticosa";"Dasiphora";"Dasiphora";"Thymelaeaceae";"Thymelaeaceae";"plant_flower";"yellow";"feeding"
186;"Isodontia mexicana";50.12462435;8.58288954;"https://www.inaturalist.org/observations/70385602";"https://inaturalist-open-data.s3.amazonaws.com/photos/114414693/medium.jpg";"05/07/2018";8;2018;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
240;"Isodontia mexicana";40.3453629;-75.16508514;"https://www.inaturalist.org/observations/15165838";"https://static.inaturalist.org/photos/22676711/medium.jpg";"05/08/2018";357;2018;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
251;"Isodontia mexicana";43.68446443;-79.35945993;"https://www.inaturalist.org/observations/14731454";"https://inaturalist-open-data.s3.amazonaws.com/photos/21974231/medium.jpg";"25/07/2018";149;2018;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
428;"Isodontia mexicana";47.63689948;9.542809128;"https://www.inaturalist.org/observations/31664114";"https://inaturalist-open-data.s3.amazonaws.com/photos/49579471/medium.jpeg";"23/07/2019";;2019;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
551;"Isodontia mexicana";49.19231503;8.197993655;"https://www.inaturalist.org/observations/29098670";"https://static.inaturalist.org/photos/45399103/medium.jpeg";"19/07/2019";18;2019;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
642;"Isodontia mexicana";42.36556667;-88.21181333;"https://www.inaturalist.org/observations/69695395";"https://inaturalist-open-data.s3.amazonaws.com/photos/113143645/medium.jpg";"10/08/2020";5;2020;"Daucus carota";"Daucus carota";"Daucus";"Daucus";"Apiaceae";"Apiaceae";"plant_flower";"white";"preyed"
